2019-01-23 09:50:45,039 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.revature:Project1_Question1:0.0.1-SNAPSHOT @ /media/sf_VM_Shared_Folder/Project1/Project1_Question1/pom.xml.
2019-01-23 09:50:45,032 [Worker-1] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.revature:Project1_Question1:0.0.1-SNAPSHOT @ /media/sf_VM_Shared_Folder/Project1/Project1_Question1/pom.xml.
2019-01-23 09:50:53,253 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-23 09:50:53,322 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-01-23 09:50:53,342 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-23 09:50:53,366 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-01-23 09:50:53,371 [Worker-3] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.revature:Project1_Question1:0.0.1-SNAPSHOT @ /media/sf_VM_Shared_Folder/Project1/Project1_Question1/pom.xml.
2019-01-23 09:50:54,494 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.revature:Project1_Question2:0.0.1-SNAPSHOT @ /media/sf_VM_Shared_Folder/Project1/Project1_Question2/pom.xml.
2019-01-23 09:50:57,400 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-23 09:50:57,413 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-01-23 09:50:57,417 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-23 09:50:57,429 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
